resahhhterjadi,resah terjadi
swttumpukan,swt tumpukan
peramalikn,peramal ikn
hahahahamaterial,hahaha material
mnancap,menancap
kayubeda,kayu beda
trbuat,terbuat
mnahan,menahan
kbanyakn,kebanyakan
chinad,china
doangtetapi,doang tetapi
lupasemoga,lupa semoga
alamiinyg,alamin yang
room,ruang
rakyatini,rakyat ini
aminujungnya,amin ujungnya
kayenyejawa,sepertinya jawa
hebaaaaaaatyg,hebat yang
ibucuma,ibu Cuma
bersamaankita,bersamaan kita
prampok,perampok
amiinkalo,amin kalau
itumanusia,itu manusia
ditentuka,ditentukan
diakuti,ditakuti
menghadapinyaalhamdulillah,menghadapinya alhamdulillah
kematianudh,kematian sudah
ehh,eh
iknyang,ikn yang
manu,manusia
murkaitu,murka itu
mw,mau
dilaknut,dilaknat
kmbalilindungi,kembali lindungi
tuhanhallah,tuhan allah
bukalo,buka kalau
indonesiasebab, indonesia sebab
zholimselama,zholim selama
ajapasrah,saja pasrah
gempabiasanya,gempa biasanya
klaw,kalau
hariboleh,hari boleh
sendiribertele,sendiri bertele
buktipropagandaucapan,bukti propaganda ucapan
mulutmuakan,mulut muak
akhiratpengalihan,akhirat pengalihan
pejabatya,pejabatnya
menanggap,menganggap
cmiiwtumben,tumben
tauu,tahu
pegawe,pegawai
terjadigak,terjadi tidak
diramalini,diramal ini
ronokaya,tidak seperti
ajaheran,saja heran
kitabuat,kita buat
kalsu,palsu
benargk,benar tidak
srkejap,sekejap
sesuatuklau,sesuatu kalau
mjaeab,menjawab
sbensrnya,sebenarnya
ygk,yang
sajateka,saja teka
tengahminta,tengah meminta
tlp,telepon
syunamingibul,tsunami ngibul
bertobatlahtapi,bertobatlah tapi
sensasimo,sensasi mau
pilkadakiamat,pilkada kiamat
selamatbmkg,selamat bmkg
allohya,allah ya
berdoasemua,berdoa semua
taugempa,tau gempa
rakyatnyahebat,rakyatnya hebat
jokowiikn,jokowi ikn
amiiiinsemoga,amin semoga
tsbt,tersebut
ajyg,saja yang
bnykmaaf,banyak maaf
selamatassalam,slamat sallam
sumoah,sumpah
kayaknyawallohualamallah,sepertinya wallohualam
itukita,itu kita
itumulutmu,itu mulutmu
celakamega,celaka mega
septemberharus,september harus
yakinhanya,yakin hanya
betmen,betman
panikahh,panikah
kanastagfirllah,astagfirullah
slamet,selamat
semuanyaasal,semuanya asal
isubagus,isu bagus
sajasmg,saja
mahklukny,mahkluknya
tuhansepertinya,tuhan sepertinya
musibahyg,musibah yang
datangsudah,datang sudah
dprkalian,dpr kalian
pembohongitu,pembohong itu
tibapengalihan,tipa pengalihan
inimudahan,ini mudahan
megapreetmaka,megapret maka
apbningatkan,apbn ingatkan
danalindungilah,dana lindungilah
yrapengalihan,pengalihan
ajadi,terjadi
kekuasaantenang,kekuasaan tenang
biasanyaalhamdulillah,biasanya alhamdulillah
jolimi,zolim
terjolimisama,terzolimi sama
waktukenapa,waktu kenapa
maap,maaf
pemrintah,pemerintah
initiap,ini tiap
kegaduhankegaduhan,kegaduhan kegaduhan
edukasiwkwkwkwharusnya,edukasi harusnya
desagempa,desa gempa
keniscayaankarena,keniscayaan karena
gravitasisehingga,gravitasi semoga
kekuatannyaboom,kekuatannya boom
besarminta,besar minta
manusiaibu,manusia ibu
bersihterma,bersih terma
ajaitu,saja itu
ngomongtks,bicara terima kasih
trdampak,dampak
cirir,ciri
janjihari,janji hari
pastisy,pastinya
ibadahsemoga,ibadah semoga
menjlnkan,menjalankan
masingmusibah,masing musibah
taupotensikita,tau potensi kita
korupsilama,korupsi lama
filem,film
ajanqkut,saja ngikut
lahberita,lah berita
pertolonganjika,pertolongan jika
kepradaban,keperadaban
besartidak,besar tidak
koksemoga,kok semoga
jadilahbhgsemoga,jadilah semoga
aamiinmanusia,amin manusia
mnentukanyg,menentukan yang
aspembawa,pembawa
mendedsak,mendesak
lolabpbd,lola bpbd
rwalangkah,langkah
